title,brand,superbowl_ads_dot_com_url,youtube_url,year,funny,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count
Toyota Tundra See Saw,Toyota,https://superbowl-ads.com/2007-toyota-tundra-see-saw/,https://www.youtube.com/watch?v=D81uh6I-2Q4,2007,FALSE,FALSE,FALSE,FALSE,FALSE,286010,221,62,114
Cool Hyundai Super Bowl Commercial (2014) Dad's Sixth Sense - Hyundai Genesis,Hynudai,https://superbowl-ads.com/2014-hyundai-genesis-dads-sixth-sense/,https://www.youtube.com/watch?v=CyK63f0I1P0,2014,TRUE,FALSE,TRUE,FALSE,TRUE,32557,202,7,5
Jackie Chan Diet Pepsi Ad,Pepsi,https://superbowl-ads.com/2006-diet-pepsi-jackie-chan/,https://www.youtube.com/watch?v=sx0i7WgBOvs,2006,TRUE,TRUE,TRUE,FALSE,FALSE,69440,70,7,11
Brown & Bubbly,Pepsi,https://superbowl-ads.com/2006-diet-pepsi-brown-and-bubbly/,https://www.youtube.com/watch?v=d8f-PiELHls,2006,TRUE,TRUE,FALSE,FALSE,TRUE,6430,45,0,10
Pepsi Super Bowl 2015 Halftime Touches Down Official Hyped for Halftime Pepsi,Pepsi,https://superbowl-ads.com/pepsi-2015-super-bowl-xlix-ad-halftime-touches-down/,https://www.youtube.com/watch?v=IUU_ygKs3jA,2015,FALSE,FALSE,FALSE,TRUE,FALSE,998,3,0,0
Bud Light Platinum - Factory 2012 Super Bowl Commercial,Bud Light,https://superbowl-ads.com/2012-bud-light-platinum-factory/,https://www.youtube.com/watch?v=3LPLXuHlOCI,2012,FALSE,FALSE,FALSE,FALSE,FALSE,21314,29,5,14
Super Bowl 2009 Ad - Doritos Crystal Ball,Doritos,https://superbowl-ads.com/2009-doritos-crystal-ball/,https://www.youtube.com/watch?v=Fdz0Q0GiEcc,2009,TRUE,FALSE,TRUE,FALSE,FALSE,20130,46,6,4
Budweiser 'Lamb Streaker',Budweiser,https://superbowl-ads.com/2006-budweiser-streaker/,https://www.youtube.com/watch?v=Zb3fhsfs6ZU,2006,TRUE,FALSE,FALSE,TRUE,TRUE,746836,2179,78,95
Cool Twist 2014 Super Bowl XLVIII Commercial Bud Light,Bud Light,https://superbowl-ads.com/2014-bud-light-cool-twist/,https://www.youtube.com/watch?v=_l1nWWiut0I,2014,FALSE,FALSE,FALSE,FALSE,FALSE,9649,32,2,1
Pepsi Truck Commercial,Pepsi,https://superbowl-ads.com/2005-diet-pepsi-pdiddy/,https://www.youtube.com/watch?v=eXfNnSOOoVc,2005,TRUE,TRUE,FALSE,FALSE,TRUE,43983,93,5,13
Bud Lighta Cedric a Island Fantasy 2005,Bud Light,https://superbowl-ads.com/2005-bud-light-cedric-stranded/,https://www.youtube.com/watch?v=Q5Hu_FBUIsk,2005,TRUE,TRUE,FALSE,TRUE,TRUE,3183,4,0,1
"2007 Super Bowl Commercials Bud Light, Apes",Bud Light,https://superbowl-ads.com/2007-bud-light-apes-plan/,https://www.youtube.com/watch?v=osn2rzClKh0,2007,TRUE,FALSE,FALSE,TRUE,FALSE,162,0,0,0
"Diet Pepsi - Guy Watcher (with Carson and Cindy, 2005)",Pepsi,https://superbowl-ads.com/2005-diet-pepsi-hot-guy/,https://www.youtube.com/watch?v=bHY2miRSwh4,2005,TRUE,TRUE,FALSE,FALSE,TRUE,293,3,0,0
2015 Budweiser Super Bowl XLIX Commercial Lost Dog Puppy BestBuds TV Ad Spot,Budweiser,https://superbowl-ads.com/2015-budweiser-lost-dog/,https://www.youtube.com/watch?v=otCxSnu_HXA,2015,FALSE,FALSE,TRUE,TRUE,FALSE,491630,2327,37,104
Game of Thrones X Bud Light | Official Super Bowl LIII Ad | Extended Version | HBO,Bud Light,https://superbowl-ads.com/2019-bud-light-game-of-thrones-joust/,https://www.youtube.com/watch?v=8fhOItB0zUM,2019,TRUE,FALSE,TRUE,TRUE,FALSE,7658201,94799,12789,7431
Bud Light: Spa,Bud Light,https://superbowl-ads.com/2004-bud-light-cedric-gets-massage/,https://www.youtube.com/watch?v=gWqR28uRxXw,2004,TRUE,TRUE,FALSE,FALSE,TRUE,39730,37,1,1
Budweiser Ad Spot: Roommate,Budweiser,https://superbowl-ads.com/2003-budweiser-roommate/,https://www.youtube.com/watch?v=R67qcUIbFhs,2003,TRUE,FALSE,FALSE,FALSE,TRUE,21813,10,0,0
ETRADE BABY Superbowl 43 XLIII Commercial,E-Trade,https://superbowl-ads.com/2009-etrade-talking-baby/,https://www.youtube.com/watch?v=PlqWRADszb0,2009,TRUE,FALSE,FALSE,FALSE,FALSE,358142,763,24,51
